module,type,name,res_id,src,value,comments
cap_project_progress_report,model,"ir.actions.act_window,name",cap_project_progress_report.project_progress_action,Project Progress Report,,
cap_project_progress_report,model_terms,"ir.actions.act_window,help",cap_project_progress_report.project_progress_action,No Project Progress Report found. Let's create one!,,
cap_project_progress_report,model,"ir.actions.report,name",cap_project_progress_report.action_report_progress_,Project Progress Report Full,,
cap_project_progress_report,model,"ir.actions.report,print_report_name",cap_project_progress_report.action_report_progress_,('%s' % (object.name)),,
cap_project_progress_report,model,"ir.actions.report,name",cap_project_progress_report.project_progress_report_no_deadline,Project Progress Report Light,,
cap_project_progress_report,model,"ir.actions.report,print_report_name",cap_project_progress_report.project_progress_report_no_deadline,('%s' % (object.name)),,
cap_project_progress_report,model,"ir.embedded.actions,name",cap_project_progress_report.project_embedded_action_project_progress_report,Project Progress Report,,
cap_project_progress_report,model,"ir.model,name",cap_project_progress_report.model_mail_compose_message,Email composition wizard,Assistant de composition de courriel,
cap_project_progress_report,model,"ir.model,name",cap_project_progress_report.model_project_domain_history,Project Domain History,,
cap_project_progress_report,model,"ir.model,name",cap_project_progress_report.model_project_milestone,Project Milestone,Jalon du projet,
cap_project_progress_report,model,"ir.model,name",cap_project_progress_report.model_project_milestone_history,Project Milestone,Jalon du projet,
cap_project_progress_report,model,"ir.model,name",cap_project_progress_report.model_project_progress,Project Progress Report,,
cap_project_progress_report,model,"ir.model,name",cap_project_progress_report.model_project_project,Project,Projet,
cap_project_progress_report,model,"ir.model,name",cap_project_progress_report.model_project_status,Project Status,,
cap_project_progress_report,model,"ir.model,name",cap_project_progress_report.model_project_task,Task,Tâche,
cap_project_progress_report,model,"ir.model,name",cap_project_progress_report.model_project_task_type,Task Stage,Étape de tâche,
cap_project_progress_report,model,"ir.model,name",cap_project_progress_report.model_sign_request,Signature Request,Demande de signature,
cap_project_progress_report,model,"ir.model,name",cap_project_progress_report.model_task_history_log,Task History Log,,
cap_project_progress_report,model,"ir.model.fields,field_description",cap_project_progress_report.field_project_domain_history__project_progress_id,Project Progress,,
cap_project_progress_report,model,"ir.model.fields,field_description",cap_project_progress_report.field_project_domain_history__task_progress,Task Progress (%),,
cap_project_progress_report,model,"ir.model.fields,help",cap_project_progress_report.field_project_domain_history__task_progress,Average progress of all tasks related to this project domain and phase.,,
cap_project_progress_report,model,"ir.model.fields,field_description",cap_project_progress_report.field_project_milestone__project_progress_id,Project Progress Report,,
cap_project_progress_report,model,"ir.model.fields,field_description",cap_project_progress_report.field_project_milestone__start_date,Start Date,Date de début,
cap_project_progress_report,model,"ir.model.fields,field_description",cap_project_progress_report.field_project_milestone__status,Status,Statut,
cap_project_progress_report,model,"ir.model.fields,field_description",cap_project_progress_report.field_project_milestone_history__create_date,Created on,,
cap_project_progress_report,model,"ir.model.fields,field_description",cap_project_progress_report.field_project_milestone_history__create_uid,Created by,,
